topicid,docid,Human_PM,Animal_PM,Not_PM,Disease_Exact,Disease_General,Disease_Specific,Disease_Not,Gene_Exact,Gene_Missing,Gene_Missing_Variant,Gene_Diff_Variant,Demo_Match,Demo_Notdiscussed,Demo_Exclude,Relevance
1,1007359,1,0,0,0,0,1,0,0.0,1.0,0.0,0.0,1,0,0,0
1,10833951,1,0,0,0,0,1,0,0.0,1.0,0.0,0.0,0,0,1,0
1,11381855,1,0,0,0,0,1,0,0.0,1.0,0.0,0.0,0,0,1,0
1,1234252,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1,1234878,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1,12758096,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1,13019089,1,0,0,0,0,1,0,0.0,1.0,0.0,0.0,0,1,0,0
1,13019606,1,0,0,0,0,1,0,0.0,1.0,0.0,0.0,0,1,0,0
1,13120118,1,0,0,0,0,1,0,0.0,1.0,0.0,0.0,0,1,0,0
1,13188512,1,0,0,0,0,1,0,0.0,1.0,0.0,0.0,0,1,0,0
1,13230519,1,0,0,0,0,1,0,0.0,1.0,0.0,0.0,1,0,0,0
1,13307997,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1,13394708,1,0,0,0,0,1,0,0.0,1.0,0.0,0.0,0,1,0,0
1,14048346,1,0,0,0,0,1,0,0.0,1.0,0.0,0.0,0,1,0,0
1,14130671,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1,1468250,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1,14873571,1,0,0,0,0,1,0,0.0,1.0,0.0,0.0,0,0,1,0
1,14943094,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1,14961576,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1,1502030,1,0,0,0,0,1,0,0.0,1.0,0.0,0.0,0,1,0,0
1,15060100,1,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0,1,0,2
1,15277467,1,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0,1,0,2
1,15515191,1,0,0,0,0,0,1,0.0,0.0,0.0,1.0,0,1,0,0
1,15577314,1,0,0,0,0,1,0,0.0,0.0,0.0,1.0,0,1,0,1
1,15663508,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1,15694309,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,1,0,2
1,15917418,1,0,0,1,0,0,0,0.0,1.0,0.0,0.0,0,1,0,0
1,15948115,1,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0,1,0,2
1,15971007,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1,16086994,1,0,0,0,0,1,0,0.0,1.0,0.0,0.0,0,0,1,0
1,16098043,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1,16410717,1,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0,1,0,2
1,16540682,1,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,1,0,2
1,16548152,1,0,0,0,0,1,0,0.0,1.0,0.0,0.0,0,1,0,0
1,16809487,1,0,0,1,0,0,0,0.0,0.0,1.0,0.0,0,1,0,1
1,16964379,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1,17016922,1,0,0,0,0,1,0,0.0,1.0,0.0,0.0,0,1,0,0
1,17159915,1,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,1,0,2
1,17346341,1,0,0,0,0,1,0,0.0,1.0,0.0,0.0,0,0,1,0
1,17409425,1,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,1,0,2
1,17575149,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1,1762359,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1,17976211,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1,18056475,1,0,0,1,0,0,0,0.0,1.0,0.0,0.0,0,1,0,0
1,18116770,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1,18245924,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1,18279546,1,0,0,1,0,0,0,0.0,1.0,0.0,0.0,0,1,0,0
1,18281615,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1,18374154,1,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,1,0,2
1,18473997,1,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0,1,0,1
1,18644254,1,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0,1,0,1
1,18715233,1,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,1,0,2
1,1872932,1,0,0,0,0,1,0,0.0,1.0,0.0,0.0,0,1,0,0
1,18790768,1,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,1,0,2
1,18794803,1,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,1,0,2
1,18840924,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0,1,0,0
1,18900223,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1,1915949,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1,19282848,0,1,0,0,0,1,0,1.0,0.0,0.0,0.0,0,1,0,2
1,19398955,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,1,0,2
1,19473026,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1,19659611,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1,19682280,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1,2011656,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1,20149136,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1,20233623,1,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0,1,0,1
1,20269662,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1,2033158,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1,20576522,1,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0,1,0,2
1,20605766,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1,20679909,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1,20786851,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1,20818844,1,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0,1,0,1
1,20942773,1,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0,1,0,1
1,20944096,1,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0,1,0,2
1,20982115,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1,20986980,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1,20991150,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1,21098728,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0,1,0,0
1,21131919,1,0,0,0,0,1,0,0.0,1.0,0.0,0.0,0,1,0,0
1,21139585,1,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0,1,0,2
1,21174863,1,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,1,0,2
1,21343559,1,0,0,0,0,1,0,0.0,0.0,1.0,0.0,0,1,0,1
1,21352266,1,0,0,0,1,0,0,1.0,0.0,0.0,0.0,1,0,0,1
1,21482206,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1,21615881,1,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0,1,0,2
1,21635872,1,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,1,0,2
1,21639808,1,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0,1,0,2
1,21693616,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1,21694724,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1,21725359,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1,21738740,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1,21788131,1,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,1,0,2
1,21905615,1,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0,1,0,2
1,21995398,1,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,1,0,2
1,21995399,1,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,1,0,2
1,21995400,1,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,1,0,2
1,22012135,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0,1,0,0
1,22022384,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1,22156613,1,0,0,0,0,1,0,0.0,0.0,1.0,0.0,0,1,0,1
1,22157295,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1,22189819,1,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,1,0,2
1,22205714,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1,22235286,1,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0,1,0,2
1,22241959,1,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,1,0,2
1,22261672,1,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,1,0,2
1,22262188,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1,22281684,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0,1,0,0
1,22332713,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1,22356324,1,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0,1,0,2
1,22382362,1,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,1,0,2
1,22385786,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1,22425959,1,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,1,0,2
1,2250181,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1,22535154,1,0,0,0,0,1,0,0.0,0.0,1.0,0.0,0,1,0,1
1,22537109,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1,22554099,1,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,1,0,2
1,22588166,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1,22588873,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1,22663011,1,0,0,0,0,1,0,0.0,0.0,1.0,0.0,0,1,0,1
1,22735384,1,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0,1,0,2
1,22742884,1,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0,1,0,2
1,22744255,1,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0,1,0,2
1,22805292,1,0,0,1,0,0,0,0.0,0.0,1.0,0.0,0,1,0,1
1,22820187,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1,22850568,1,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,1,0,2
1,22895053,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1,22900212,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1,22934253,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,1,0
1,22962325,1,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,1,0,2
1,23025996,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1,23026937,1,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,1,0,2
1,23036672,1,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0,1,0,2
1,23051966,1,0,0,0,0,1,0,0.0,0.0,1.0,0.0,0,1,0,1
1,23094782,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1,23169438,1,0,0,0,0,1,0,0.0,0.0,1.0,0.0,1,0,0,1
1,23174497,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1,23181437,1,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,1,0,2
1,23211290,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1,23235345,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1,23237741,1,0,0,1,0,0,0,0.0,0.0,0.0,1.0,0,1,0,1
1,23248257,1,0,0,0,0,1,0,0.0,0.0,1.0,0.0,0,1,0,1
1,23249624,1,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0,1,0,2
