count_match_self,count_match_ancestor,count_match_descendant,age_missing_numeric,age_diff_numeric,age_missing_text,age_match_text,gender_missing,gender_diff,match_gene,has_variation,match_variation,match_total_variation,has_other_info,match_other_info,match_human,match_animal,match_not,topicid,docid,year,rel
10,0,0,0,0.8807970779778823,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,5,2,1,10065107,2017,0
0,0,0,1,0.0,1,0,1,0,5.0,0.0,0.0,0.0,1.0,2.0,0,2,0,1,10101594,2017,1
6,0,3,1,0.0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0,3,4,1,10220412,2017,0
0,0,0,1,0.0,1,0,1,0,3.0,0.0,0.0,0.0,1.0,6.0,7,3,0,1,10323080,2017,1
6,0,2,0,0.9999999992417439,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,4,7,0,1,10466061,2017,0
0,0,0,1,0.0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,2,8,4,1,10513887,2017,0
0,0,0,1,0.0,1,0,1,0,5.0,0.0,0.0,0.0,1.0,2.0,2,1,0,1,10587703,2017,0
0,1,0,1,0.0,1,0,1,0,2.0,0.0,0.0,0.0,1.0,1.0,4,8,0,1,10634644,2017,0
0,2,3,1,0.0,1,0,1,0,5.0,0.0,0.0,0.0,1.0,3.0,2,3,0,1,10727978,2017,0
6,0,0,1,0.0,1,0,1,0,6.0,0.0,0.0,0.0,1.0,1.0,0,2,0,1,10755400,2017,2
0,0,0,1,0.0,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,2,5,5,1,10780569,2017,0
8,0,3,0,0.999999999994891,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,3,1,10792803,2017,0
8,1,1,1,0.0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0,0,2,1,10802925,2017,0
10,0,3,1,0.0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1,1,10981874,2017,2
6,0,0,0,0.8807970779778823,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,1,11071338,2017,0
0,0,0,0,0.9990889488055994,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,4,6,1,11148443,2017,0
6,0,1,1,0.0,1,0,1,0,1.0,0.0,0.0,0.0,1.0,6.0,1,14,0,1,11369052,2017,2
0,0,0,1,0.0,1,0,1,0,12.0,0.0,0.0,0.0,1.0,0.0,4,9,0,1,11400112,2017,0
0,0,0,1,0.0,1,0,1,0,1.0,0.0,0.0,0.0,1.0,1.0,4,8,0,1,11406642,2017,0
6,0,0,0,1.0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,1,11419292,2017,0
4,0,0,0,0.999999999994891,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0,3,2,1,11464131,2017,0
6,0,0,0,0.5,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1,1,11475677,2017,0
18,1,0,0,0.9999546021312976,0,0,0,1,3.0,0.0,0.0,0.0,1.0,1.0,1,5,0,1,11505267,2017,2
0,1,0,1,0.0,1,0,1,0,10.0,0.0,0.0,0.0,1.0,9.0,1,2,0,1,11564577,2017,1
0,0,0,1,0.0,0,1,1,0,0.0,0.0,0.0,0.0,1.0,0.0,4,1,3,1,11687139,2017,0
12,0,0,1,0.0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0,2,0,1,11692442,2017,0
0,0,0,1,0.0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,2,1,0,1,11723444,2017,0
12,1,4,1,0.0,0,1,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0,5,1,1,11757866,2017,1
0,0,0,1,0.0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,1,11927279,2017,0
8,0,3,1,0.0,1,0,1,0,1.0,0.0,0.0,1.0,1.0,0.0,0,2,0,1,12036902,2017,0
0,0,0,1,0.0,1,0,1,0,2.0,0.0,0.0,0.0,1.0,0.0,0,3,0,1,12080677,2017,0
0,0,0,1,0.0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,1,6,9,1,12137654,2017,0
4,0,0,0,0.999983298578152,0,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,2,1,12184463,2017,0
0,0,0,1,0.0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,1,5,0,1,12235066,2017,0
10,1,1,0,0.9999999999622486,0,0,0,0,2.0,0.0,0.0,0.0,1.0,1.0,0,0,1,1,12242528,2017,2
4,0,0,0,0.9999999999999656,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,0,1,1233435,2017,0
34,0,5,1,0.0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0,3,8,1,12471362,2017,0
0,1,0,1,0.0,1,0,1,0,5.0,0.0,0.0,0.0,1.0,0.0,0,2,0,1,12565795,2017,1
0,0,0,1,0.0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,1.0,2,0,2,1,12631396,2017,0
14,0,4,1,0.0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,2.0,0,4,0,1,12640106,2017,1
6,0,0,1,0.0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0,5,0,1,12641360,2017,0
0,2,0,1,0.0,1,0,1,0,9.0,0.0,0.0,0.0,1.0,0.0,10,5,0,1,12731669,2017,0
10,0,0,0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,1,12736039,2017,0
10,0,0,0,0.9999999998973812,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,3,1,1,12860348,2017,0
0,0,0,1,0.0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1,1,14181025,2017,0
6,0,0,0,0.9999999999999953,1,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0,4,0,1,1444619,2017,0
20,0,2,0,0.9999999999999993,1,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,4,6,1,1,14501502,2017,0
12,0,0,1,0.0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0,2,0,1,14562008,2017,0
0,0,0,1,0.0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,1,6,9,1,14583950,2017,0
0,1,0,1,0.0,1,0,1,0,10.0,0.0,0.0,0.0,1.0,0.0,6,2,1,1,14621993,2017,0
0,0,0,1,0.0,1,0,0,1,2.0,0.0,0.0,0.0,1.0,0.0,1,4,0,1,14642430,2017,0
8,1,0,0,0.9999999999999953,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1,8,3,1,14664188,2017,0
16,0,5,1,0.0,1,0,1,0,5.0,0.0,0.0,0.0,1.0,8.0,0,1,0,1,14694526,2017,0
4,0,1,0,0.9990889488055994,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0,2,0,1,14736600,2017,2
6,0,0,0,1.0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0,6,0,1,15084775,2017,0
0,0,0,1,0.0,1,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,2,1,3,1,15097043,2017,0
0,0,0,1,0.0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0,6,0,1,15122585,2017,0
14,0,0,0,0.7310585786300049,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0,7,3,1,15146377,2017,0
6,0,0,0,0.9999999999999656,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,2,1,1,15154619,2017,2
6,0,2,1,0.0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,4,1,15201968,2017,0
16,0,7,1,0.0,1,0,1,0,6.0,0.0,0.0,0.0,1.0,4.0,0,2,0,1,15221942,2017,0
0,0,0,1,0.0,1,0,1,0,8.0,0.0,0.0,0.0,1.0,0.0,1,14,0,1,15314163,2017,0
0,0,0,1,0.0,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,15,1,4,1,15352912,2017,0
0,0,0,1,0.0,1,0,1,0,11.0,0.0,0.0,0.0,1.0,0.0,0,5,0,1,15555303,2017,0
0,0,0,1,0.0,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,2,4,4,1,15663221,2017,0
6,0,3,1,0.0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0,2,3,1,15688424,2017,0
0,0,0,1,0.0,1,0,1,0,8.0,0.0,0.0,0.0,1.0,0.0,15,4,1,1,15880589,2017,0
0,0,0,0,0.9999999999999953,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,14,0,1,1,15912364,2017,0
12,0,4,0,0.9999999999999953,0,0,1,0,2.0,0.0,0.0,0.0,1.0,1.0,1,5,0,1,15991843,2017,2
14,0,5,0,0.9998766054240137,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0,7,7,1,16146262,2017,0
6,2,2,1,0.0,1,0,1,0,11.0,0.0,0.0,0.0,1.0,4.0,0,4,0,1,16160477,2017,0
10,0,2,0,0.8807970779778823,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0,4,0,1,16164258,2017,0
6,0,0,0,0.9999999999999953,1,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0,6,1,1,16167475,2017,0
8,0,3,0,0.9999999847700205,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,3,4,4,1,16175441,2017,0
4,0,2,1,0.0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,1.0,7,7,3,1,16177957,2017,0
0,0,0,1,0.0,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,8,4,1,16288002,2017,0
