count_match_self,count_match_ancestor,count_match_descendant,age_missing_numeric,age_diff_numeric,age_missing_text,age_match_text,gender_missing,gender_diff,match_gene,has_variation,match_variation,match_total_variation,has_other_info,match_other_info,match_human,match_animal,match_not,topicid,docid,year,rel,bm25
18,1,0,0,0.9999546021312976,0,0,0,1,3.0,0.0,0.0,0.0,1.0,1.0,1,5,0,1,11505267,2017,2.0,44.370598
14,0,1,1,0.0,1,0,1,0,7.0,0.0,0.0,0.0,1.0,0.0,2,21,0,1,25028469,2017,2.0,44.133198
22,0,3,1,0.0,1,0,1,0,6.0,0.0,0.0,0.0,1.0,0.0,1,4,1,1,26993784,2017,2.0,44.006240000000005
16,0,2,1,0.0,1,0,1,0,6.0,0.0,0.0,0.0,1.0,1.0,2,0,2,1,9713346,2017,0.0,41.572655
8,0,3,0,1.0,0,0,0,1,3.0,0.0,0.0,0.0,1.0,0.0,0,0,0,1,27778364,2017,0.0,41.255676
6,0,0,1,0.0,1,0,1,0,5.0,0.0,0.0,0.0,1.0,1.0,0,8,0,1,19626636,2017,0.0,41.179256
8,0,2,1,0.0,1,0,1,0,8.0,0.0,0.0,0.0,1.0,2.0,0,0,0,1,27597521,2017,0.0,40.918438
12,1,2,1,0.0,0,1,1,0,4.0,0.0,0.0,0.0,1.0,0.0,0,1,0,1,23529275,2017,0.0,40.33313
12,0,6,1,0.0,1,0,1,0,4.0,0.0,0.0,0.0,1.0,0.0,0,4,0,1,21317707,2017,0.0,39.24868
8,0,2,1,0.0,1,0,1,0,7.0,0.0,0.0,0.0,1.0,5.0,0,5,0,1,21910158,2017,0.0,38.57123
6,0,0,1,0.0,1,0,1,0,4.0,0.0,0.0,0.0,1.0,0.0,2,5,0,1,17214366,2017,2.0,37.52632
10,0,4,1,0.0,1,0,1,0,5.0,0.0,0.0,0.0,1.0,2.0,0,5,1,1,24227706,2017,0.0,36.949806
10,0,5,1,0.0,1,0,1,0,2.0,0.0,0.0,0.0,1.0,0.0,0,2,5,1,24788530,2017,0.0,36.809006
26,0,8,0,0.999999999994891,1,0,1,0,7.0,0.0,0.0,0.0,1.0,12.0,5,4,0,1,26336885,2017,2.0,36.711456
26,0,4,0,0.9999999999999065,1,0,1,0,5.0,0.0,0.0,0.0,1.0,4.0,0,3,0,1,26542423,2017,0.0,36.410713
6,2,2,1,0.0,1,0,1,0,11.0,0.0,0.0,0.0,1.0,4.0,0,4,0,1,16160477,2017,0.0,36.3787
