count_match_self,count_match_ancestor,count_match_descendant,topicid,docid,label
15,0,0,1,1007359,More Specific
4,0,0,1,10833951,More Specific
12,0,0,1,11381855,More Specific
2,0,0,1,13019089,More Specific
10,0,0,1,13019606,More Specific
3,0,0,1,13120118,More Specific
3,0,0,1,13188512,More Specific
3,0,0,1,13230519,More Specific
3,0,1,1,13394708,More Specific
3,0,1,1,14048346,More Specific
3,0,0,1,14873571,More Specific
12,0,0,1,1502030,More Specific
5,0,0,1,15060100,More Specific
11,0,0,1,15277467,More Specific
3,0,0,1,15515191,Not Disease
12,0,0,1,15577314,More Specific
25,0,0,1,15694309,Exact
8,0,0,1,15917418,Exact
39,0,0,1,15948115,More Specific
13,1,0,1,16086994,More Specific
17,0,0,1,16410717,More Specific
10,0,0,1,16540682,Exact
12,0,0,1,16548152,More Specific
22,0,0,1,16809487,Exact
16,0,0,1,17016922,More Specific
17,0,0,1,17159915,Exact
14,1,0,1,17346341,More Specific
20,0,0,1,17409425,Exact
3,1,0,1,18056475,Exact
19,0,0,1,18279546,Exact
13,0,0,1,18374154,Exact
6,4,0,1,18473997,More General
2,3,0,1,18644254,More General
14,0,0,1,18715233,Exact
22,0,0,1,1872932,More Specific
16,0,0,1,18790768,Exact
15,0,0,1,18794803,Exact
0,0,0,1,18840924,Not Disease
23,0,0,1,19282848,More Specific
27,0,0,1,19398955,Exact
5,0,0,1,20233623,More General
13,0,0,1,20576522,More Specific
13,0,0,1,20818844,More General
9,0,0,1,20942773,More General
29,0,0,1,20944096,More Specific
3,0,0,1,21098728,Not Disease
6,0,0,1,21131919,More Specific
6,0,0,1,21139585,More Specific
2,0,0,1,21174863,Exact
6,0,0,1,21343559,More Specific
23,0,0,1,21352266,More General
8,0,0,1,21615881,More Specific
16,0,0,1,21635872,Exact
4,0,0,1,21639808,More Specific
4,0,0,1,21788131,Exact
18,0,0,1,21905615,More Specific
2,0,0,1,21995398,Exact
2,0,0,1,21995399,Exact
2,0,0,1,21995400,Exact
5,0,0,1,22012135,Not Disease
6,0,0,1,22156613,More Specific
16,0,0,1,22189819,Exact
12,0,0,1,22235286,More Specific
12,0,0,1,22241959,Exact
14,0,0,1,22261672,Exact
6,0,0,1,22281684,Not Disease
11,0,0,1,22356324,More Specific
11,0,0,1,22382362,Exact
11,0,0,1,22425959,Exact
4,0,0,1,22535154,More Specific
16,0,0,1,22554099,Exact
4,0,0,1,22663011,More Specific
2,0,0,1,22735384,More Specific
7,0,0,1,22742884,More Specific
5,0,0,1,22744255,More Specific
2,0,0,1,22805292,Exact
2,0,0,1,22850568,Exact
11,0,0,1,22934253,Exact
8,0,0,1,22962325,Exact
12,0,0,1,23026937,Exact
10,0,0,1,23036672,More Specific
18,0,0,1,23051966,More Specific
2,0,0,1,23169438,More Specific
4,0,0,1,23181437,Exact
9,0,0,1,23237741,Exact
6,0,0,1,23248257,More Specific
8,0,0,1,23249624,More Specific
4,0,0,1,23288408,Exact
4,0,0,1,23290787,Exact
19,0,0,1,23306863,Exact
13,0,0,1,23344460,Exact
8,0,0,1,23358426,More Specific
4,0,0,1,23403819,More Specific
16,0,0,1,23454771,Exact
10,0,0,1,23579220,Exact
22,0,0,1,23615632,Exact
14,0,0,1,23621583,Exact
10,0,0,1,23735514,More Specific
2,0,0,1,23792568,Not Disease
15,0,0,1,23802768,Exact
18,0,0,1,23807941,Exact
14,0,0,1,23817129,More Specific
10,0,0,1,23852164,More Specific
17,0,0,1,23898270,More Specific
2,0,0,1,23918947,Exact
7,1,0,1,23924408,More Specific
10,0,0,1,23938765,More Specific
3,0,0,1,24023633,More Specific
37,0,0,1,24114495,Exact
30,0,0,1,24200969,Exact
19,0,0,1,24201813,Exact
6,0,0,1,24241686,Exact
12,0,0,1,24259661,Exact
6,0,0,1,24265154,More Specific
12,0,0,1,24333389,Exact
10,0,0,1,24335665,Exact
11,0,0,1,24398428,Exact
12,0,0,1,24403169,Exact
4,0,0,1,24422853,Exact
21,0,0,1,24471189,More Specific
2,0,0,1,24508103,Exact
8,0,0,1,24516336,More Specific
12,0,0,1,24535907,More Specific
10,0,0,1,24567366,Exact
8,0,0,1,24588073,More General
0,0,0,1,24612623,Not Disease
18,0,0,1,24670642,Exact
15,0,0,1,24684646,Exact
2,0,0,1,24725538,Not Disease
6,0,0,1,24893747,Exact
8,0,0,1,24958825,Exact
11,0,0,1,24971404,Exact
2,0,0,1,25037139,Exact
32,0,2,1,25051202,Exact
6,0,0,1,25096067,More Specific
16,0,0,1,25117819,Exact
6,0,0,1,25159853,More Specific
10,0,0,1,25257244,More Specific
8,0,0,1,25265492,Exact
4,0,0,1,25265494,Exact
14,0,0,1,25351955,Exact
16,0,0,1,25361077,Exact
8,0,0,1,25364391,Exact
15,0,0,1,25376477,Exact
15,0,0,1,25385327,Exact
8,0,0,1,25399551,Exact
11,0,0,1,25411185,Exact
0,0,0,1,25468810,Not Disease
8,0,0,1,25472943,Exact
14,0,0,1,25562798,More General
7,0,0,1,25600339,Exact
0,0,0,1,25623974,Not Disease
12,0,0,1,25643238,Exact
6,0,0,1,25686114,Exact
4,0,0,1,25744437,More General
2,0,0,1,25752325,Exact
4,0,0,1,25767048,Exact
6,0,0,1,25787767,Exact
19,0,0,1,25888143,Exact
4,0,0,1,25980594,Exact
10,0,0,1,25993155,Exact
2,0,0,1,26037941,Exact
10,0,0,1,26141621,Exact
6,0,0,1,26171248,Exact
0,0,0,1,26200454,Not Disease
2,0,0,1,26286452,Not Disease
10,0,0,1,26347528,More Specific
14,0,0,1,26594172,Exact
8,0,0,1,26597176,Exact
6,0,0,1,26600396,Exact
16,0,0,1,26678033,Exact
40,0,0,1,26710785,Exact
8,0,0,1,26731560,Exact
15,0,0,1,26790143,Exact
4,0,0,1,26851802,Exact
14,0,0,1,26878440,Exact
4,0,1,1,26924424,More Specific
0,0,0,1,27028853,Exact
14,0,0,1,27210749,Exact
2,0,0,1,27219630,Exact
9,0,0,1,27255157,Exact
0,0,0,1,27283860,Not Disease
12,0,0,1,27327499,More Specific
12,0,0,1,27403706,Exact
14,0,0,1,27481005,Exact
6,0,0,1,27679543,Exact
16,0,0,1,27793752,Exact
8,0,0,1,AACR_2012-1223,Exact
32,0,0,1,AACR_2012-3677,Exact
23,0,0,1,AACR_2012-5598,Exact
15,0,0,1,AACR_2012-5601,Exact
37,0,0,1,AACR_2013-1116,Exact
10,0,0,1,AACR_2013-2078,Exact
8,0,0,1,AACR_2013-3404,Exact
27,0,0,1,AACR_2013-4058,Exact
4,0,0,1,AACR_2014-3698,Exact
12,0,1,1,AACR_2016-1138,More Specific
33,0,0,1,AACR_2016-4017,More General
7,0,0,1,AACR_2017-5160,More General
2,0,0,1,ASCO_112427-132,Not Disease
6,0,0,1,ASCO_129111-144,Exact
4,0,0,1,ASCO_131583-144,More Specific
8,0,0,1,ASCO_132152-144,Exact
10,0,0,1,ASCO_150395-156,More Specific
