match_gene,has_variation,match_variation,match_total_variation,has_other_info,match_other_info,topicid,docid,label
0,0,0,0,1,0,1,10065107,Missing Gene
5,0,0,0,1,2,1,10101594,Exact
0,0,0,0,1,0,1,10220412,Missing Gene
3,0,0,0,1,6,1,10323080,Exact
0,0,0,0,1,0,1,10466061,Missing Gene
5,0,0,0,1,2,1,10587703,Exact
6,0,0,0,1,1,1,10755400,Exact
0,0,0,0,1,0,1,10792803,Missing Gene
0,0,0,0,1,0,1,10981874,Exact
1,0,0,0,1,6,1,11369052,Exact
12,0,0,0,1,0,1,11400112,Exact
3,0,0,0,1,1,1,11505267,Exact
10,0,0,0,1,9,1,11564577,Exact
0,0,0,0,1,0,1,11757866,Missing Variant
2,0,0,0,1,1,1,12242528,Exact
5,0,0,0,1,0,1,12565795,Exact
0,0,0,0,1,1,1,12631396,Missing Gene
0,0,0,0,1,2,1,12640106,Exact
1,0,0,0,1,0,1,14736600,Exact
0,0,0,0,1,0,1,15122585,Exact
0,0,0,0,1,0,1,15154619,Exact
2,0,0,0,1,1,1,15991843,Exact
0,0,0,0,1,0,1,16288002,Exact
3,0,0,0,1,0,1,16707471,Exact
4,0,0,0,1,0,1,17214366,Exact
12,0,0,0,1,1,1,17664862,Exact
2,0,0,0,1,1,1,17895758,Exact
1,0,0,0,1,0,1,18413802,Exact
4,0,0,0,1,0,1,18484097,Exact
7,0,0,0,1,3,1,18790768,Exact
3,0,0,0,1,5,1,18820664,Exact
1,0,0,0,1,1,1,19664496,Exact
14,0,0,0,1,9,1,19737942,Exact
4,0,0,0,1,3,1,19816710,Exact
2,0,0,0,1,3,1,20473880,Exact
1,0,0,0,1,1,1,20497911,Exact
2,0,0,0,1,2,1,20588177,Exact
1,0,0,0,1,0,1,20601955,Exact
1,0,0,0,1,0,1,20697254,Exact
6,0,0,0,1,0,1,20736297,Exact
3,0,0,1,1,1,1,21325289,Exact
0,0,0,0,1,1,1,21358383,Exact
1,0,0,0,1,1,1,21552124,Exact
5,0,0,0,1,7,1,21593195,Exact
1,0,0,0,1,3,1,21793095,Exact
3,0,0,0,1,2,1,21801719,Exact
8,0,0,0,1,0,1,22302033,Exact
1,0,0,0,1,1,1,22307930,Exact
1,0,0,0,1,0,1,22374332,Exact
1,0,0,0,1,4,1,22678079,Exact
10,0,0,0,1,0,1,23174577,Exact
3,0,0,0,1,3,1,23393200,Exact
8,0,0,0,1,2,1,23569312,Exact
8,0,0,0,1,8,1,23852861,Exact
5,0,0,0,1,0,1,24065146,Exact
11,0,0,0,1,0,1,24168228,Exact
0,0,0,0,1,1,1,24397249,Exact
3,0,0,0,1,2,1,24406431,Exact
10,0,0,0,1,12,1,24487315,Exact
10,0,0,0,1,0,1,24496383,Exact
11,0,0,0,1,0,1,24751144,Exact
9,0,0,0,1,0,1,24795392,Exact
7,0,0,0,1,0,1,25028469,Exact
1,0,0,0,1,8,1,25059573,Exact
9,0,0,0,1,10,1,25121597,Exact
1,0,0,0,1,0,1,25223380,Exact
4,0,0,0,1,0,1,25301361,Exact
10,0,0,0,1,12,1,25679065,Exact
1,0,0,0,1,1,1,25690861,Exact
18,0,0,0,1,3,1,25810375,Exact
2,0,0,0,1,1,1,25822339,Exact
3,0,0,0,1,0,1,25941111,Exact
1,0,0,0,1,0,1,25993159,Exact
0,0,0,0,1,0,1,26084847,Exact
7,0,0,0,1,12,1,26336885,Exact
7,0,0,0,1,0,1,26337082,Exact
0,0,0,0,1,0,1,26573603,Exact
3,0,0,0,1,2,1,26642065,Exact
1,0,0,0,1,0,1,26643872,Exact
1,0,0,0,1,2,1,26645460,Exact
1,0,0,0,1,1,1,26918731,Exact
0,0,0,0,1,0,1,26962163,Exact
6,0,0,0,1,0,1,26993784,Exact
3,0,0,0,1,1,1,27124835,Exact
