count_match_self,count_match_ancestor,count_match_descendant,age_missing_numeric,age_diff_numeric,age_missing_text,age_match_text,gender_missing,gender_diff,match_gene,has_variation,match_variation,match_total_variation,has_other_info,match_other_info,match_human,match_animal,match_not,topicid,docid,year
14,0,0,1,0,1,0,1,0,15.0,1.0,0.0,0.0,0.0,0.0,8,7,1,1,24073999,2018
17,0,0,1,0,1,0,1,0,9.0,1.0,0.0,0.0,0.0,0.0,10,0,0,1,12810628,2018
37,0,0,1,0,1,0,1,0,9.0,1.0,1.0,1.0,0.0,0.0,11,3,0,1,15277467,2018
20,0,0,1,0,1,0,1,0,13.0,1.0,3.0,3.0,0.0,0.0,17,10,0,1,27679543,2018
28,0,0,1,0,1,0,1,0,17.0,1.0,5.0,5.0,0.0,0.0,1,6,1,1,26851802,2018
22,0,0,1,0,1,0,1,0,16.0,1.0,1.0,1.0,0.0,0.0,6,7,0,1,23615632,2018
12,0,0,1,0,1,0,1,0,11.0,1.0,0.0,0.0,0.0,0.0,7,3,0,1,20350535,2018
8,0,0,1,0,1,0,1,0,12.0,1.0,0.0,0.0,0.0,0.0,2,3,0,1,26001180,2018
18,0,0,1,0,1,0,1,0,6.0,1.0,0.0,0.0,0.0,0.0,6,4,0,1,16096377,2018
20,0,0,0,0.7310585786300049,1,0,1,0,20.0,1.0,1.0,3.0,0.0,0.0,13,8,0,1,21343559,2018
8,0,0,1,0,1,0,1,0,4.0,1.0,0.0,0.0,0.0,0.0,6,5,0,1,27592869,2018
16,0,0,1,0,1,0,1,0,8.0,1.0,3.0,3.0,0.0,0.0,9,4,1,1,21635872,2018
13,0,0,1,0,1,0,1,0,8.0,1.0,2.0,2.0,0.0,0.0,9,5,0,1,18374154,2018
33,0,0,1,0,1,0,1,0,17.0,1.0,5.0,5.0,0.0,0.0,1,11,1,1,AACR_2016-4017,2018
17,0,0,1,0,1,0,1,0,11.0,1.0,0.0,0.0,0.0,0.0,5,4,0,1,14500344,2018
25,0,0,1,0,1,0,1,0,10.0,1.0,0.0,0.0,0.0,0.0,11,0,0,1,17962436,2018
8,0,0,1,0,1,0,1,0,9.0,1.0,0.0,0.0,0.0,0.0,13,1,0,1,22175026,2018
6,0,0,1,0,1,0,1,0,9.0,1.0,0.0,0.0,0.0,0.0,8,7,0,1,25648338,2018
14,0,0,1,0,1,0,1,0,5.0,1.0,3.0,3.0,0.0,0.0,6,1,0,1,26594172,2018
15,0,0,1,0,1,0,1,0,8.0,1.0,0.0,0.0,0.0,0.0,6,2,0,1,25385327,2018
19,0,0,1,0,1,0,1,0,5.0,1.0,0.0,0.0,0.0,0.0,4,5,0,1,18279546,2018
12,0,0,1,0,0,0,1,0,7.0,1.0,0.0,0.0,0.0,0.0,3,1,0,1,25180764,2018
8,0,0,1,0,1,0,1,0,4.0,1.0,1.0,1.0,0.0,0.0,3,6,1,1,24516336,2018
14,0,0,1,0,1,0,1,0,9.0,1.0,8.0,8.0,0.0,0.0,2,6,0,1,27210749,2018
26,0,0,1,0,1,0,1,0,0.0,1.0,1.0,1.0,0.0,0.0,2,6,0,1,24893747,2018
12,0,0,1,0,1,0,1,0,7.0,1.0,0.0,0.0,0.0,0.0,3,9,0,1,27169980,2018
8,0,0,1,0,1,0,1,0,6.0,1.0,0.0,0.0,0.0,0.0,6,2,0,1,26616061,2018
24,0,0,1,0,1,0,1,0,5.0,1.0,0.0,0.0,0.0,0.0,15,3,0,1,14522889,2018
18,0,0,1,0,1,0,0,1,11.0,1.0,0.0,0.0,0.0,0.0,5,0,7,1,15824163,2018
11,0,0,1,0,1,0,1,0,6.0,1.0,0.0,2.0,0.0,0.0,9,5,0,1,27146499,2018
10,0,0,1,0,1,0,1,0,10.0,1.0,0.0,0.0,0.0,0.0,10,2,0,1,25174651,2018
16,0,0,1,0,1,0,1,0,10.0,1.0,0.0,0.0,0.0,0.0,23,10,0,1,15613230,2018
16,0,0,1,0,1,0,1,0,19.0,1.0,0.0,0.0,0.0,0.0,3,2,0,1,24469106,2018
11,0,0,1,0,1,0,1,0,14.0,1.0,6.0,9.0,0.0,0.0,12,10,0,1,24971404,2018
8,0,0,1,0,1,0,1,0,9.0,1.0,0.0,0.0,0.0,0.0,10,20,0,1,25426645,2018
6,0,0,1,0,1,0,1,0,8.0,1.0,0.0,0.0,0.0,0.0,6,7,0,1,25344914,2018
30,0,0,1,0,1,0,1,0,15.0,1.0,2.0,2.0,0.0,0.0,14,6,0,1,24200969,2018
16,0,0,1,0,0,0,1,0,9.0,1.0,0.0,0.0,0.0,0.0,15,6,0,1,25819940,2018
14,0,0,1,0,1,0,1,0,12.0,1.0,11.0,12.0,0.0,0.0,15,6,0,1,25442222,2018
15,0,0,0,1.0,1,0,1,0,5.0,1.0,0.0,0.0,0.0,0.0,3,3,0,1,23342664,2018
17,0,0,1,0,1,0,0,1,5.0,1.0,0.0,0.0,0.0,0.0,2,0,4,1,14617374,2018
15,0,0,1,0,1,0,1,0,7.0,1.0,0.0,0.0,0.0,0.0,7,2,0,1,23415641,2018
17,0,0,1,0,1,0,1,0,7.0,1.0,0.0,0.0,0.0,0.0,12,3,0,1,24388723,2018
23,0,0,1,0,1,0,1,0,20.0,1.0,7.0,7.0,0.0,0.0,21,4,0,1,AACR_2012-5598,2018
23,0,2,1,0,1,0,1,0,12.0,1.0,4.0,4.0,0.0,0.0,15,1,0,1,26138035,2018
18,0,0,1,0,1,0,1,0,9.0,1.0,3.0,3.0,0.0,0.0,6,2,0,1,24670642,2018
14,0,0,1,0,1,0,1,0,13.0,1.0,1.0,1.0,0.0,0.0,7,2,0,1,24732172,2018
10,0,0,1,0,1,0,1,0,5.0,1.0,0.0,0.0,0.0,0.0,8,2,1,1,24291778,2018
6,0,0,1,0,1,0,1,0,6.0,1.0,0.0,0.0,0.0,0.0,5,4,0,1,23770823,2018
23,0,0,1,0,1,0,1,0,10.0,1.0,4.0,6.0,0.0,0.0,3,4,0,1,24917033,2018
15,0,0,1,0,1,0,1,0,6.0,1.0,2.0,2.0,0.0,0.0,9,3,0,1,24684646,2018
20,0,0,1,0,1,0,1,0,6.0,1.0,0.0,0.0,0.0,0.0,9,0,0,1,12824225,2018
16,0,0,1,0,1,0,1,0,12.0,1.0,11.0,11.0,0.0,0.0,0,16,0,1,22189819,2018
36,0,0,1,0,1,0,1,0,11.0,1.0,0.0,0.0,0.0,0.0,29,1,0,1,16845322,2018
21,0,0,0,0.9999999999999982,0,0,0,0,10.0,1.0,5.0,5.0,0.0,0.0,11,1,2,1,24471189,2018
25,0,0,1,0,1,0,1,0,11.0,1.0,1.0,1.0,0.0,0.0,7,6,1,1,15694309,2018
15,0,0,1,0,1,0,1,0,9.0,1.0,0.0,0.0,0.0,0.0,7,0,0,1,24080641,2018
10,0,0,1,0,1,0,1,0,3.0,1.0,0.0,0.0,0.0,0.0,2,1,0,1,21656352,2018
26,0,0,0,0.9999999999999982,0,0,1,0,13.0,1.0,6.0,11.0,0.0,0.0,8,7,0,1,22535154,2018
6,0,0,1,0,1,0,1,0,3.0,1.0,0.0,0.0,0.0,0.0,4,1,0,1,19156138,2018
19,2,0,1,0,1,0,1,0,13.0,1.0,0.0,0.0,0.0,0.0,23,4,0,1,12460918,2018
6,0,0,1,0,1,0,1,0,4.0,1.0,0.0,0.0,0.0,0.0,1,2,0,1,27308505,2018
16,0,0,1,0,1,0,0,1,10.0,1.0,4.0,4.0,0.0,0.0,10,3,0,1,25607474,2018
9,0,0,1,0,1,0,1,0,0.0,1.0,3.0,3.0,0.0,0.0,0,9,0,1,19345328,2018
6,0,0,1,0,1,0,1,0,5.0,1.0,0.0,0.0,0.0,0.0,3,1,0,1,25686114,2018
4,0,0,1,0,1,0,1,0,5.0,1.0,0.0,0.0,0.0,0.0,6,2,0,1,22157295,2018
17,0,0,1,0,1,0,1,0,5.0,1.0,2.0,2.0,0.0,0.0,8,1,0,1,16410717,2018
8,0,0,1,0,1,0,1,0,6.0,1.0,0.0,0.0,0.0,0.0,3,3,0,1,26358420,2018
18,0,1,1,0,1,0,1,0,9.0,1.0,3.0,4.0,0.0,0.0,16,3,0,1,AACR_2013-4220,2018
10,0,0,1,0,1,0,1,0,6.0,1.0,0.0,0.0,0.0,0.0,5,0,0,1,15179189,2018
14,0,0,1,0,1,0,1,0,10.0,1.0,1.0,1.0,0.0,0.0,6,12,0,1,23621583,2018
20,0,0,1,0,0,0,1,0,11.0,1.0,1.0,1.0,0.0,0.0,19,4,0,1,16567964,2018
21,0,0,0,0.999999999986112,1,0,1,0,8.0,1.0,0.0,0.0,0.0,0.0,12,3,0,1,27860480,2018
21,0,0,1,0,1,0,1,0,8.0,1.0,2.0,2.0,0.0,0.0,7,8,0,1,25407517,2018
22,0,0,1,0,1,0,1,0,12.0,1.0,2.0,2.0,0.0,0.0,7,3,0,1,24709886,2018
6,0,0,1,0,1,0,1,0,3.0,1.0,0.0,0.0,0.0,0.0,3,3,0,1,25031620,2018
12,0,0,1,0,1,0,1,0,10.0,1.0,1.0,1.0,0.0,0.0,4,10,0,1,26073081,2018
15,0,0,1,0,1,0,1,0,11.0,1.0,0.0,0.0,0.0,0.0,6,5,0,1,25538140,2018
12,0,0,1,0,1,0,1,0,5.0,1.0,0.0,0.0,0.0,0.0,7,7,0,1,25841454,2018
9,0,0,1,0,1,0,1,0,11.0,1.0,2.0,9.0,0.0,0.0,21,5,0,1,23237741,2018
14,0,0,1,0,1,0,1,0,7.0,1.0,0.0,0.0,0.0,0.0,4,8,0,1,27542908,2018
8,0,0,1,0,1,0,1,0,15.0,1.0,12.0,12.0,0.0,0.0,6,4,0,1,23403819,2018
6,0,0,1,0,1,0,1,0,6.0,1.0,0.0,0.0,0.0,0.0,7,3,0,1,26488003,2018
12,0,0,1,0,1,0,1,0,6.0,1.0,5.0,5.0,0.0,0.0,9,3,0,1,24535907,2018
12,0,0,1,0,1,0,1,0,7.0,1.0,0.0,0.0,0.0,0.0,8,10,0,1,AACR_2015-3522,2018
20,0,0,1,0,1,0,1,0,17.0,1.0,11.0,11.0,0.0,0.0,5,2,0,1,17409425,2018
15,0,0,1,0,1,0,1,0,2.0,1.0,2.0,2.0,0.0,0.0,7,1,0,1,26825657,2018
6,0,0,1,0,1,0,1,0,2.0,1.0,0.0,0.0,0.0,0.0,1,2,0,1,21139585,2018
11,0,0,1,0,1,0,1,0,5.0,1.0,2.0,2.0,0.0,0.0,6,1,0,1,25583765,2018
19,0,0,1,0,0,0,1,0,14.0,1.0,3.0,3.0,0.0,0.0,13,7,1,1,25888143,2018
4,0,0,1,0,1,0,1,0,9.0,1.0,0.0,0.0,0.0,0.0,7,6,0,1,25944484,2018
23,0,0,1,0,1,0,1,0,8.0,1.0,3.0,3.0,0.0,0.0,12,3,0,1,23861977,2018
14,0,0,1,0,1,0,1,0,8.0,1.0,0.0,0.0,0.0,0.0,5,8,0,1,17384209,2018
16,0,0,1,0,1,0,1,0,5.0,1.0,0.0,0.0,0.0,0.0,5,5,0,1,26743513,2018
12,0,0,1,0,1,0,1,0,9.0,1.0,2.0,2.0,0.0,0.0,2,1,0,1,24118207,2018
21,0,0,1,0,1,0,1,0,9.0,1.0,2.0,2.0,0.0,0.0,9,7,0,1,25046227,2018
13,0,0,1,0,1,0,1,0,9.0,1.0,0.0,0.0,0.0,0.0,9,4,0,1,23369684,2018
14,0,0,1,0,1,0,1,0,13.0,1.0,1.0,1.0,0.0,0.0,8,2,0,1,AACR_2014-3703,2018
19,0,0,1,0,1,0,1,0,7.0,1.0,0.0,0.0,0.0,0.0,13,17,0,1,15009714,2018
22,0,0,1,0,1,0,1,0,11.0,1.0,1.0,1.0,0.0,0.0,12,4,0,1,21224857,2018
